Skill,Percent Apprehend,Programming Language,Tool,Technology,Package,Web/Dashboard Design,Machine Learning,Data Engineering,Data Science,Data Analysis,Teamwork
Python,95,1,0,0,0,0,1,1,1,1,0
SQL,85,1,0,0,0,0,0,1,1,1,0
Rust,60,1,0,0,0,0,0,1,0,0,0
R,90,1,0,0,0,0,1,0,1,1,0
C++,75,1,0,0,0,0,0,0,0,0,0
Apache Spark,70,0,1,1,0,0,0,1,1,0,0
HTML,80,1,0,0,0,1,0,0,0,0,0
CSS,90,1,0,0,0,1,0,0,0,0,0
Markdown,80,1,0,0,0,1,0,0,0,0,0
TeX,70,0,1,0,0,1,0,0,0,0,0
SAS,80,1,1,0,0,0,0,0,1,1,0
MatLab,75,0,1,0,0,0,1,0,0,0,0
AWS,80,0,1,1,0,1,1,1,0,0,0
Azure,75,0,1,1,0,1,0,1,0,0,0
Git,80,0,1,0,0,0,0,1,0,0,0
RStudio,80,0,1,0,0,0,0,0,1,1,0
Tableau,70,0,1,0,0,1,0,0,1,1,0
Quarto,65,0,1,0,0,1,0,0,0,0,0
Excel,85,0,0,1,0,1,1,0,1,0,0
Machine Learning,95,0,0,1,0,0,1,0,1,0,0
Deep Learning,70,0,0,1,0,0,1,0,1,0,0
NLP,80,0,0,1,0,0,0,0,1,0,0
Statistical Modeling,70,0,0,1,0,0,0,0,1,1,0
ANOVA,80,0,0,1,0,0,0,0,1,1,0
Regression Analysis,75,0,0,0,0,0,0,0,1,1,0
Exploratory Data Analysis (EDA),70,0,0,1,0,0,0,1,0,0,0
Data Visualization,65,0,0,1,0,0,0,0,0,0,0
DevOps,70,0,0,1,0,0,0,1,0,0,1
Experiment Design,75,0,0,0,1,0,1,0,1,0,0
ETL Pipeline,80,0,0,0,1,0,1,1,1,0,0
PyTorch,75,0,0,0,1,0,1,0,1,0,0
Scikit-learn,70,0,0,0,1,0,1,0,1,0,0
TensorFlow,70,0,0,1,1,0,0,0,1,0,0
Keras,85,0,0,0,1,0,0,0,1,0,0
PySpark,85,0,0,0,1,0,0,0,1,1,0
Pandas,75,0,0,0,1,0,0,0,1,1,0
NumPy,80,0,0,0,1,0,0,0,1,1,0
SciPy,75,0,0,0,1,0,0,0,1,1,0
Matplotlib,70,0,0,0,1,0,1,0,1,0,0
Seaborn,85,0,0,0,0,0,0,0,0,0,0
NLTK,90,0,0,0,0,0,0,0,0,0,0
Collaboration,90,0,0,0,0,0,0,0,0,0,1
Communication,90,0,0,0,0,0,0,0,0,0,1
Leadership,75,0,0,0,0,0,0,0,0,0,1
Time Management,80,0,0,0,0,0,0,0,0,0,1
Critical Thinking,80,0,0,0,0,0,0,0,0,0,1
Data Analysis,90,0,0,0,0,0,0,0,1,1,0
